date,value
2000-02-04,1568.71
2000-02-07,1579.73
2000-02-08,1579.24
2000-02-09,1612.81
2000-02-10,1657.01
2000-02-11,1693.79
2000-02-14,1695.99
2000-02-15,1693.21
2000-02-16,1731
2000-02-17,1794.13
2000-02-18,1816.81
2000-02-21,1875.14
2000-02-22,1831.47
2000-02-23,1771.57
2000-02-24,1773.56
2000-02-25,1710.27
2000-02-28,1712.44
2000-02-29,1633.13
2000-03-01,1717.65
2000-03-02,1739.36
2000-03-03,1682.54
2000-03-06,1705.13
2000-03-07,1681.11
2000-03-08,1675.08
2000-03-09,1617.4
2000-03-10,1589.6
2000-03-13,1526.37
2000-03-14,1504.04
2000-03-15,1507.76
2000-03-16,1458.44
2000-03-21,1429.27
2000-03-22,1467.79
2000-03-23,1465.55
2000-03-24,1498.06
2000-03-27,1508.62
2000-03-28,1524.11
2000-03-29,1536.23
2000-03-30,1494.65
2000-03-31,1455.31
2000-04-03,1416.9
2000-04-04,1317.03
2000-04-05,1317.66
2000-04-06,1329.19
2000-04-07,1416.81
2000-04-10,1482.24
2000-04-11,1494.6
2000-04-12,1473.06
2000-04-13,1407.96
2000-04-17,1320.65
2000-04-18,1278.58
2000-04-19,1245.85
2000-04-20,1240.59
2000-04-24,1194.34
2000-04-25,1177.66
2000-04-26,1237.08
2000-04-27,1202.29
2000-04-28,1180.4
2000-05-02,1100.01
2000-05-03,1072.36
2000-05-04,1130.65
2000-05-05,1178.97
2000-05-08,1126.68
2000-05-09,1150.54
2000-05-10,1121.98
2000-05-11,1065.03
2000-05-12,1024.78
2000-05-15,1035.17
2000-05-16,1038.49
2000-05-17,1036.83
2000-05-18,1026.22
2000-05-19,1003.1
2000-05-22,962.4
2000-05-23,964.01
2000-05-24,969.29
2000-05-25,978.61
2000-05-26,982.72
2000-05-29,1005.21
2000-05-30,1041.33
2000-05-31,1070.44
2000-06-01,1049.98
2000-06-02,1083.06
2000-06-05,1107.72
2000-06-06,1129.15
2000-06-07,1137.27
2000-06-08,1163.51
2000-06-09,1158.22
2000-06-12,1139.57
2000-06-13,1136.96
2000-06-14,1150.84
2000-06-15,1161.88
2000-06-16,1194.79
2000-06-19,1214.07
2000-06-20,1227.73
2000-06-21,1192.27
2000-06-22,1204.72
2000-06-23,1180.22
2000-06-26,1175.13
2000-06-27,1171.48
2000-06-28,1188.06
2000-06-29,1195.35
2000-06-30,1188.6
2000-07-03,1213.41
2000-07-04,1223.11
2000-07-05,1229.26
2000-07-06,1220.05
2000-07-07,1215.62
2000-07-10,1208.49
2000-07-11,1203.46
2000-07-12,1227.95
2000-07-13,1208.22
2000-07-14,1201.42
2000-07-17,1179.98
2000-07-18,1167.42
2000-07-19,1146.52
2000-07-20,1136.91
2000-07-21,1113.47
2000-07-24,1039.9
2000-07-25,1082.7
2000-07-26,1051.27
2000-07-27,1072.9
2000-07-28,1069.42
2000-07-31,1062.99
2000-08-01,1054.38
2000-08-02,1058.64
2000-08-03,1044.44
2000-08-04,1024.71
2000-08-07,1020.89
2000-08-08,1050.99
2000-08-09,1060.4
